# brand-owned source domain	packaged SVG slug
1001tracklists.com	1001tracklists
flutter.dev	flutter
fontawesome.com	fontawesome
fontforge.org	fontforge
formbricks.com	formbricks
formik.org	formik
formspree.io	formspree
fortnite.com	fortnite
fox.com	fox
framer.com	framer
freecad.org	freecad
freecodecamp.org	freecodecamp
freelancer.com	freelancer
freshrss.org	freshrss
frigate.video	frigate
frontendmentor.io	frontendmentor
frontify.com	frontify
fubo.tv	fubo
fujifilm.com	fujifilm
fujitsu.com	fujitsu
furaffinity.net	furaffinity
futurelearn.com	futurelearn
g2.com	g2
galaxus.de	galaxus
gamebanana.com	gamebanana
gamejolt.com	gamejolt
gameloft.com	gameloft
gandi.net	gandi
gatling.io	gatling
gentoo.org	gentoo
geocaching.com	geocaching
geopandas.org	geopandas
gitbook.com	gitbook
gitcode.com	gitcode
gitee.com	gitee
github.com	github
gitkraken.com	gitkraken
gitlab.com	gitlab
gitpod.io	gitpod
gitter.im	gitter
glass.photo	glass
gleam.run	gleam
gocd.org	gocd
godaddy.net	godaddy
godox.com	godox
gofundme.com	gofundme
gojek.com	gojek
goodreads.com	goodreads
gotomeeting.com	gotomeeting
gradle.com	gradle
graylog.org	graylog
groupme.com	groupme
groupon.com	groupon
guilded.gg	guilded
gumtree.com	gumtree
gurobi.com	gurobi
habr.com	habr
hackerrank.com	hackerrank
hackmd.io	hackmd
harmonyos.com	harmonyos
hashcat.net	hashcat
hashicorp.com	hashicorp
haskell.org	haskell
hbo.com	hbo
here.com	here
heroui.com	heroui
hetzner.com	hetzner
hexlet.io	hexlet
honkaiimpact3.hoyoverse.com	honkai-impact-3rd
hoppscotch.com	hoppscotch
houzz.com	houzz
hp.com	hp
hsbc.com	hsbc
hsr.hoyoverse.com	honkai-star-rail
htc.com	htc
huawei.com	huawei
huggingface.co	huggingface
humblebundle.com	humblebundle
hyper.is	hyper
iconify.design	iconify
icons8.com	icons8
ieee.org	ieee
ifttt.com	ifttt
ikea.com	ikea
imdb.com	imdb
immersivetranslate.com	immersivetranslate
indiehackers.com	indiehackers
infinityfree.com	infinityfree
infoq.com	infoq
ingress.com	ingress
inkscape.org	inkscape
inoreader.com	inoreader
intel.com	intel
intercom.com	intercom
intigriti.com	intigriti
intuit.com	intuit
irobot.com	irobot
isc2.org	isc2
jbl.com	jbl
jdoodle.com	jdoodle
jellyfin.org	jellyfin
jenkins.io	jenkins
jetblue.com	jetblue
jetbrains.com	jetbrains
jfrog.com	jfrog
jitpack.io	jitpack
joomla.org	joomla
jouav.com	jouav
jpeg.org	jpeg
jquery.org	jquery
jsfiddle.net	jsfiddle
juejin.cn	juejin
kaggle.com	kaggle
kashflow.com	kashflow
kaspersky.com	kaspersky
kaufland.com	kaufland
keenetic.com	keenetic
keepachangelog.com	keepachangelog
keeper.io	keeper
kia.com	kia
kick.com	kick
kickstarter.com	kickstarter
kinopoisk.ru	kinopoisk
kinsta.com	kinsta
kiwix.org	kiwix
kleinanzeigen.de	kleinanzeigen
klm.com	klm
knip.dev	knip
kodi.tv	kodi
komoot.com	komoot
koyeb.com	koyeb
kuaishou.com	kuaishou
kubuntu.org	kubuntu
kucoin.com	kucoin
kueski.com	kueski
languagetool.org	languagetool
lastpass.com	lastpass
launchpad.net	launchpad
lbry.com	lbry
leagueoflegends.com	leagueoflegends
leetcode.com	leetcode
legacygames.com	legacygames
lemonsqueezy.com	lemonsqueezy
lenovo.com	lenovo
letsencrypt.org	letsencrypt
lg.com	lg
liberapay.com	liberapay
line.me	line
lining.com	lining
linphone.org	linphone
lintcode.com	lintcode
linuxfoundation.org	linuxfoundation
liquibase.com	liquibase
listenhub.ai	listenhub
livejournal.com	livejournal
livekit.io	livekit
localxpose.io	localxpose
loops.so	loops
lospec.com	lospec
lufthansa.com	lufthansa
lyft.com	lyft
macpaw.com	macpaw
magic.link	magic
mailchimp.com	mailchimp
mailtrap.io	mailtrap
