# Simple Icons title, verified source domain and display colour
2k	2K	2k.com	DD0700
comptia	CompTIA	comptia.org	C8202F
adminer	Adminer	adminer.org	34567C
dolby	Dolby	dolby.com	AAB6C2
infoq	InfoQ	infoq.com	2C6CAF
fluentd	Fluentd	fluentd.org	0E83C8
premierleague	Premier League	premierleague.com	AAB6C2
picxy	Picxy	picxy.com	AAB6C2
postcss	PostCSS	postcss.org	DD3A0A
dinersclub	Diners Club	dinersclub.com	004C97
bun	Bun	bun.sh	AAB6C2
hackerrank	HackerRank	hackerrank.com	00EA64
frigate	Frigate	frigate.video	AAB6C2
pixabay	Pixabay	pixabay.com	AAB6C2
statuspal	Statuspal	statuspal.io	4934BF
photobucket	Photobucket	photobucket.com	1C47CB
rtl	RTL	rtl.de	FA002E
airindia	Air India	airindia.com	DA0E29
spdx	SPDX	spdx.org	4398CC
dblp	dblp	dblp.org	004F9F
bitwig	Bitwig	bitwig.com	FF5A00
plangrid	PlanGrid	plangrid.com	0085DE
tangled	Tangled	tangled.org	AAB6C2
barmenia	Barmenia	barmenia.de	009FE3
jsfiddle	JSFiddle	jsfiddle.net	0084FF
wasabi	Wasabi	wasabi.com	01CD3E
turbosquid	TurboSquid	turbosquid.com	FF8135
shadow	Shadow	shadow.tech	AAB6C2
mlb	MLB	mlb.com	AAB6C2
hexlet	Hexlet	hexlet.io	116EF5
esotericsoftware	Esoteric Software	esotericsoftware.com	3FA9F5
datocms	DatoCMS	datocms.com	FF7751
symphony	Symphony	symphony.com	0098FF
ansible	Ansible	ansible.com	EE0000
wappalyzer	Wappalyzer	wappalyzer.com	AAB6C2
openmined	OpenMined	openmined.org	ED986C
fcc	FCC	fcc.gov	AAB6C2
octobercms	October CMS	octobercms.com	DB6A26
legacygames	Legacy Games	legacygames.com	144B9E
fauna	Fauna	fauna.com	AAB6C2
dunked	Dunked	dunked.com	2DA9D7
answer	Answer	answer.dev	0033FF
blibli	Blibli	blibli.com	0072FF
vectary	Vectary	vectary.com	6100FF
bisecthosting	BisectHosting	bisecthosting.com	AAB6C2
comsol	Comsol	comsol.com	368CCB
pleroma	Pleroma	pleroma.social	FBA457
boulanger	boulanger	boulanger.com	FD5300
gradle	Gradle	gradle.com	AAB6C2
codingninjas	Coding Ninjas	codingninjas.com	DD6620
plume	Plume	plume.com	7C5CDF
rainyun	RainYun	rainyun.com	DAD9D9
phonepe	PhonePe	phonepe.com	AAB6C2
changedetection	Change Detection	changedetection.io	3056D3
intigriti	Intigriti	intigriti.com	AAB6C2
fila	Fila	fila.com	AAB6C2
viblo	Viblo	viblo.asia	5387C6
airfrance	Air France	airfrance.fr	AAB6C2
ros	ROS	ros.org	AAB6C2
virustotal	VirusTotal	virustotal.com	394EFF
expensify	Expensify	expensify.com	0185FF
studio3t	Studio 3T	studio3t.com	17AF66
anichart	AniChart	anichart.net	41B1EA
trustedshops	Trusted Shops	trustedshops.com	FFDC0F
payloadcms	Payload CMS	payloadcms.com	AAB6C2
bugcrowd	Bugcrowd	bugcrowd.com	F26822
pomerium	Pomerium	pomerium.com	6F43E7
codestream	CodeStream	codestream.com	008C99
carrd	Carrd	carrd.co	596CAF
tablecheck	TableCheck	tablecheck.com	7935D2
qgis	QGIS	qgis.org	589632
stackoverflow	Stack Overflow	stackoverflow.design	F58025
hashcat	Hashcat	hashcat.net	FFFFFF
bungie	Bungie	bungie.net	0075BB
kickstarter	Kickstarter	kickstarter.com	05CE78
php	PHP	php.net	777BB4
glass	Glass	glass.photo	FFCC00
kiwix	Kiwix	kiwix.org	AAB6C2
centos	CentOS	centos.org	AAB6C2
codementor	Codementor	codementor.io	AAB6C2
lintcode	LintCode	lintcode.com	13B4FF
sahibinden	Sahibinden	sahibinden.com	FFE800
telenor	Telenor	telenor.no	00C8FF
neo4j	Neo4j	neo4j.com	4581C3
modelscope	ModelScope	modelscope.cn	624AFF
vivaldi	Vivaldi	vivaldi.com	EF3939
breaker	Breaker	breaker.audio	AAB6C2
nhl	NHL	nhl.com	AAB6C2
dataiku	Dataiku	dataiku.com	2AB1AC
codio	Codio	codio.com	4574E0
matomo	Matomo	matomo.org	3152A0
klm	KLM	klm.com	00A1DE
ifttt	IFTTT	ifttt.com	AAB6C2
anta	Anta	anta.com	D70010
akiflow	Akiflow	akiflow.com	AF38F9
tinyletter	TinyLetter	tinyletter.com	ED1C24
365datascience	365 Data Science	365datascience.com	AAB6C2
lufthansa	Lufthansa	lufthansa.com	AAB6C2
ring	Ring	ring.com	1C9AD6
nebula	Nebula	nebula.tv	2CADFE
htc	HTC	htc.com	A5CF4C
blockbench	Blockbench	blockbench.net	1E93D9
dreamstime	Dreamstime	dreamstime.com	50A901
tarteaucitron	Tarteaucitron	tarteaucitron.io	F7D917
passbolt	Passbolt	passbolt.com	D40101
animalplanet	Animal Planet	animalplanet.com	0073FF
aframe	A-Frame	aframe.io	EF2D5E
dragonframe	Dragonframe	dragonframe.com	D4911E
prometheus	Prometheus	prometheus.io	E6522C
tietoevry	TietoEVRY	tietoevry.com	AAB6C2
codecov	Codecov	codecov.io	F01F7A
rte	RTÉ	rte.ie	00A7B3
heroui	HeroUI	heroui.com	AAB6C2
keepachangelog	Keep a Changelog	keepachangelog.com	E05735
onlyoffice	ONLYOFFICE	onlyoffice.com	AAB6C2
myanimelist	MyAnimeList	myanimelist.net	2E51A2
formik	Formik	formik.org	2563EB
sololearn	Sololearn	sololearn.com	149EF2
piaggiogroup	Piaggio Group	piaggiogroup.com	AAB6C2
renpy	Ren'Py	renpy.org	FF7F7F
upcloud	UpCloud	upcloud.com	7B00FF
drupal	Drupal	drupal.org	0678BE
indiehackers	Indie Hackers	indiehackers.com	AAB6C2
mangacollec	Mangacollec	mangacollec.com	DA1F05
zara	Zara	zara.com	AAB6C2
